,Country,Population(x000),Tot Population with a visual correction need(%),Tot Population with a visual correction need(x000),Tot Population with a visual correction (%),Tot Population with a visual correction(x000),Spectacle SV Lenses(%),Spectacle BTF Lenses(%),Spectacle PAL Lenses(%),Contact Lenses(%),Ready-Mades(%),Myopia Control(%),Spectacle SV Lenses(x000),Spectacle BTF Lenses.(x000),Spectacle PAL Lenses.1(x000),Contact Lenses.1(x000),Ready-Mades.1(x000),Myopia Control.1(x000),Code
0,France,67877,75.18917705,51036,71.17703922,48313,49.9890483,1.598267772,47.62472814,9.280003678,6.539041142,0.229867965,24151,772,23008,4483,3159,111,FRA
1,Germany,83028,67.93478207,56405,58.87484535,48882,75.88897605,0.755166149,48.8049316,7.374358771,20.36275706,0.038589407,37096,369,23857,3604,9953,18,DEU
2,Italy,58918,67.33894091,39675,60.78267755,35812,72.00066875,0.77545965,20.93741054,9.496760672,15.50919299,0.082783865,25785,277,7498,3401,5554,29,ITA
3,Spain,48926,76.48442546,37420,61.14648653,29916,51.75709224,0.773030094,52.4494272,10.36148678,3.935342769,0.086460562,15483,231,15691,3099,1177,25,ESP
4,United Kingdom,67544,72.97018744,49287,61.07058347,41249,66.64776799,3.869110403,26.19341814,13.37484848,19.7449008,0.139926483,27492,1596,10804,5517,8144,57,GBR
5,Austria,8970,65.44618193,5871,59.27957196,5317,45.29842739,1.395683544,34.98934781,3.859792889,16.52951528,0.119297921,2408,74,1860,205,879,6,AUT
6,Belgium,11621,73.23486045,8510,60.42011878,7021,41.39181998,1.517654108,51.22998006,10.94395687,13.53222741,0.044033178,2906,106,3597,768,950,3,BEL
7,Denmark,5882,73.04219902,4296,61.15676654,3597,46.16695074,2.018175698,49.51541885,7.958269911,15.0117734,0.066308087,1660,72,1781,286,540,2,DNK
8,Finland,5544,73.33604935,4065,61.36922305,3402,39.86246944,2.250761087,51.4692066,8.046801593,15.39997756,0.026278196,1356,76,1751,273,523,0,FIN
9,Ireland,5067,72.61992176,3680,35.69020981,1808,63.50693915,4.276490015,28.79107416,12.81897843,21.73387598,0.011734504,1148,77,520,231,393,0,IRL
10,Netherlands,17581,72.79135255,12797,61.0964754,10741,34.23784154,2.050814261,38.18418461,16.56224156,12.20709307,0.02542838,3677,220,4101,1779,1311,2,NLD
11,Norway,5447,72.65457429,3957,60.81740184,3313,46.64596786,2.142657285,39.69131691,8.519470532,13.84811577,0.015243076,1545,70,1314,282,458,0,NOR
12,Portugal,10298,67.38732043,6940,51.19283263,5272,66.36012378,1.829679313,30.46367886,12.26919619,3.968083111,0.034373617,3498,96,1606,646,209,1,PRT
13,Sweden,10475,72.92401772,7638,60.98859606,6388,51.12850862,2.12918024,38.0454956,8.568360132,13.86172113,0.078573867,3266,136,2430,547,885,5,SWE
14,Switzerland,8757,66.95783195,5863,63.82931566,5589,48.36795746,2.044761553,47.98145193,15.84922851,25.42487733,0.588307274,2703,114,2682,885,1421,32,CHE
15,Bulgaria,6447,66.91147089,4314,40.51352123,2612,65.86706513,0.809248191,9.990150779,5.953759046,33.98842402,0,1720,21,260,155,887,0,BGR
16,Croatia,3877,68.70157214,2663,58.70157214,2276,65.81582978,2.228117357,24.45800032,8.274697116,6.485456145,0,1498,50,556,188,147,0,HRV
17,Czech Republic,10500,50.85900908,5340,40.35175501,4237,77.6914059,5.302668007,10.68925446,11.96204738,16.28163041,0.056349277,3291,224,452,506,689,2,CZE
18,Hungary,9689,72.99590773,7072,53.03158221,5138,69.8704515,2.719029705,17.92400691,2.079108954,17.2798415,0.087724761,3590,139,920,106,887,4,HUN
19,Poland,37766,72.63668668,27432,56.03878974,21163,72.9790177,2.665028342,11.31413588,10.93454098,24.49147644,0.123283794,15445,564,2394,2314,5183,26,POL
20,Romania,19918,71.65360103,14272,52.95804336,10548,83.02969724,2.924173829,4.023064465,4.259749761,9.324292256,0.025509886,8758,308,424,449,983,2,ROU
21,Slovakia,5856,70.86359299,4150,55.25765237,3236,56.76527227,15.44209677,11.75067311,13.00828547,20.02322495,0,1837,499,380,420,647,0,SVK
22,Slovenia,2107,67.40402305,1420,57.40402305,1209,65.93773288,2.222811001,24.35868436,8.284180851,6.457954583,0,797,26,294,100,78,0,SVN
23,Morocco,37457,48.46294813,18153,18.93418003,7092,87.53350242,2.374570968,13.3569617,3.225056181,4.452320565,0,6208,168,947,228,315,0,MAR
24,Russia,143443,41.02084183,58841,31.06878121,44566,83.87292731,0.679819001,2.039457004,14.38846404,21.51610552,0.249272148,37378,302,908,6412,9588,111,RUS
25,Saudi Arabia,36408,42.1471091,15345,30.48944346,11100,78.47551529,4.056795543,9.924950195,17.70396113,5.03847466,0,8711,450,1101,1965,559,0,SAU
26,South Africa,60604,43.34068708,26266,14.53785229,8810,60.8728974,5.001167922,14.67638005,13.40700889,19.41936231,0.022589586,5363,440,1293,1181,1710,1,ZAF
27,Tunisia,12356,51.05385664,6308,29.43231398,3636,83.4325223,0.647478139,5.625639208,4.596671914,6.920595486,0.001296148,3034,23,204,167,251,0,TUN
28,Turkey,85341,65.75847052,56119,43.99993047,37550,95.80845044,0.083739237,7.5365313,2.351917327,0,0.020644784,35976,31,2829,883,0,7,TUR
29,United Arab Emirates,9441,43.89100841,4143,18.00481578,1699,69.36463072,3.93594106,16.30023813,12.82130771,8.470779527,0,1179,66,277,217,143,0,ARE
30,Canada,38561,76.45191401,29480,70.86567962,27326,59.49149951,5.785632533,22.20699461,23.62271485,11.62195492,0.753125918,16257,1581,6068,6455,3175,205,CAN
31,United States,333287,69.62,232034,64.45,214803,55.91234164,12.83468757,31.25280474,24.81304557,13.86287692,0,120101,27569,67132,53299,29777,0,USA
32,Brazil,215313,59.13237102,127319,38.59308727,83096,64.19869,1.648290279,29.84816267,3.487733217,5.213400519,0.004848589,53346,1369,24802,2898,4332,4,BRA
33,Argentina,46050,58.86355847,27106,46.0461532,21204,89.14653361,2.466696908,2.866618163,10,6.93300009,0,18902,523,607,2120,1470,0,ARG
