,Country,Population(x000),Tot Population with a visual correction need(%),Tot Population with a visual correction need(x000),Tot Population with a visual correction (%),Tot Population with a visual correction(x000),Spectacle SV Lenses(%),Spectacle BTF Lenses(%),Spectacle PAL Lenses(%),Contact Lenses(%),Ready-Mades(%),Myopia Control(%),Spectacle SV Lenses(x000),Spectacle BTF Lenses.(x000),Spectacle PAL Lenses.1(x000),Contact Lenses.1(x000),Ready-Mades.1(x000),Myopia Control.1(x000),Code
0,France,20004.454,68,13603.02872,63.5,12702.82829,69,2,14,22,1,0,8764.95152,254.0565658,1778.395961,2794.622224,127.0282829,0,FRA
1,Germany,25287.624,48,12138.05952,42,10620.80208,90,0,17,14,10,0,9558.721872,0,1805.536354,1486.912291,1062.080208,0,DEU
2,Italy,16384.58,41,6717.6778,34,5570.7572,100,0,0,25.5,0,0,5570.7572,0,0,1420.543086,0,0,ITA
3,Spain,14665,72,10558.8,43,6305.95,78.19230769,0,21.70769231,23,2,0,4930.767827,0,1368.876223,1450.3685,126.119,0,ESP
4,United Kingdom,21675.113,48,10404.05424,38,8236.54294,96,0,2,22,2,0,7907.081222,0,164.7308588,1812.039447,164.7308588,0,GBR
5,Austria,2881.016,45.2,1302.219232,46.2,1331.029392,82.4,0,5.2,6,10,0,1096.768219,0,69.21352838,79.86176352,133.1029392,0,AUT
6,Belgium,3682.258,48,1767.48384,36,1325.61288,75,1,25,15,15,0,994.20966,13.2561288,331.40322,198.841932,198.841932,0,BEL
7,Denmark,1842.857,48,884.57136,38,700.28566,86,0,9,11,8,0,602.2456676,0,63.0257094,77.0314226,56.0228528,0,DNK
8,Finland,1725.997,46,793.95862,35,604.09895,81,1.0002,9.5,15.5,5,0,489.3201495,6.042197698,57.38940025,93.63533725,30.2049475,0,FIN
9,Ireland,1694.997,50,847.4985,15,254.24955,96,0,2,22,2.5,0,244.079568,0,5.084991,55.934901,6.35623875,0,IRL
10,Netherlands,5520.861,48,2650.01328,38,2097.92718,58,0,3,25,17,0,1216.797764,0,62.9378154,524.481795,356.6476206,0,NLD
11,Norway,1803.716,48,865.78368,38,685.41208,81,1,9,16,5,0,555.1837848,6.8541208,61.6870872,109.6659328,34.270604,0,NOR
12,Portugal,3036.837,50.3,1527.529011,47,1427.31339,98.7,0,8.1,25.1,0.75,0,1408.758316,0,115.6123846,358.2556609,10.70485043,0,PRT
13,Sweden,3357.206,48,1611.45888,38,1275.73828,79,1,10,15,5,0,1007.833241,12.7573828,127.573828,191.360742,63.786914,0,SWE
14,Switzerland,2866.218,58,1662.40644,54,1547.75772,90,0,6,30,20,1,1392.981948,0,92.8654632,464.327316,309.551544,15.4775772,CHE
15,Bulgaria,1823.132,45,820.4094,20,364.6264,95,0,2,10,0,0,346.39508,0,7.292528,36.46264,0,0,BGR
16,Croatia,1207.637,62,748.73494,52,627.97124,86,0.95,5,15,1,0,540.0552664,5.96572678,31.398562,94.195686,6.2797124,0,HRV
17,Czech Republic,3260.51,55,1793.2805,43.1,1405.27981,80,1,6,25,6,0,1124.223848,14.0527981,84.3167886,351.3199525,84.3167886,0,CZE
18,Hungary,3229,58.15,1877.6635,37,1194.73,90,0,4,3,10,0,1075.257,0,47.7892,35.8419,119.473,0,HUN
19,Poland,13581,58.4,7931.304,46.7166,6344.581446,78.1,0.19,1.045,27,19,0,4955.118109,12.05470475,66.30087611,1713.03699,1205.470475,0,POL
20,Romania,6466.94,51,3298.1394,30,1940.082,90,0,2,8,3,0,1746.0738,0,38.80164,155.20656,58.20246,0,ROU
21,Slovakia,2084.398,55,1146.4189,45,937.9791,65,0,12,16,12,0,609.686415,0,112.557492,150.076656,112.557492,0,SVK
22,Slovenia,652.654,61,398.11894,51,332.85354,86,0.95,5,15,1,0,286.2540444,3.16210863,16.642677,49.928031,3.3285354,0,SVN
23,Morocco,13940.851,38,5297.52338,19,2648.76169,100,0,0,4,0,0,2648.76169,0,0,105.9504676,0,0,MAR
24,Russia,49982.373,23,11495.94579,20,9996.4746,90,0,0,27,5,0,8996.82714,0,0,2699.048142,499.82373,0,RUS
25,Saudi Arabia,15142.022,50,7571.011,35,5299.7077,96,0,1,21,1,0,5087.719392,0,52.997077,1112.938617,52.997077,0,SAU
26,South Africa,24642,40,9856.8,17,4189.14,65,4,7,20,22,0,2722.941,167.5656,293.2398,837.828,921.6108,0,ZAF
27,Tunisia,4503.579,32,1441.14528,18,810.64422,89,0,2,9,2,0,721.4733558,0,16.2128844,72.9579798,16.2128844,0,TUN
28,Turkey,33036.315,55,18169.97325,40,13214.526,100,0,0,3,0,0,13214.526,0,0,396.43578,0,0,TUR
29,United Arab Emirates,5795.518,33,1912.52094,13.8,799.781484,78,2,6,15,4,0,623.8295575,15.99562968,47.98688904,119.9672226,31.99125936,0,ARE
30,Canada,13040.587,81,10562.87547,72,9389.22264,91,5,5,39,0,0,8544.192602,469.461132,469.461132,3661.79683,0,0,CAN
31,United States,116650.645,70,81655.45146,62,72323.39987,94.35266845,2.63790054,3.009431007,23.95956238,2.22303057,0,68239.05769,1907.819356,2176.522821,17328.3701,1607.771288,0,USA
32,Brazil,85025.025,46.53253359,39564.29832,23.69296524,20144.94962,91.5,1,7.14,6.5,0,0.02,18432.6289,201.4494962,1438.349403,1309.421725,0,4.028989923,BRA
33,Argentina,16960.105,53,8988.85565,50,8480.0525,100,0,1,10,5,0,8480.0525,0,84.800525,848.00525,424.002625,0,ARG
34,Chile,7496.683,56.2,4213.135846,19,1424.36977,75,1,5,11,10,0,1068.277328,14.2436977,71.2184885,156.6806747,142.436977,0,CHL
35,Colombia,20847.219,39.8,8297.193162,31.05,6473.0615,77.85,1.4,15.55,2.85,3.7,0,5039.278377,90.62286099,1006.561063,184.4822527,239.5032755,0,COL
36,Mexico,48570.372,39.5,19185.29694,26,12628.29672,88,15,6,10,0,0,11112.90111,1894.244508,757.6978032,1262.829672,0,0,MEX
37,China,520936,70,364655.2,45,234421.2,99,0,0,17.3,0,0,232076.988,0,0,40554.8676,0,0,CHN
38,Hong Kong,2374.7,70,1662.29,57.4,1363.0778,90,0,1,40,0,0,1226.77002,0,13.630778,545.23112,0,0,HKG
39,Taiwan,8435.115,84,7085.4966,84.03938796,7088.81902,96.9,0,3.6,56,0,0,6869.06563,0,255.1974847,3969.738651,0,0,TWN
40,Australia,9094.183,55,5001.80065,37,3364.84771,81,3,16,17,4.5,0.2,2725.526645,100.9454313,538.3756336,572.0241107,151.418147,6.72969542,AUS
41,New Zealand,1767.33,53,936.6849,38,671.5854,77,3,20,25,5,0,517.120758,20.147562,134.31708,167.89635,33.57927,0,NZL
42,India,564723.045,38.6,217983.0954,17.54059162,99055.76308,100,0,0,2,0,0,99055.76308,0,0,1981.115262,0,0,IND
43,Japan,35240,65.5,23082.2,65.1,22941.24,97.88,0,0.54,58,0.9,0.01,22454.88571,0,123.882696,13305.9192,206.47116,2.294124,JPN
44,Indonesia,104708.916,36,37695.20976,17,17800.51572,85,0,3,38,0,0,15130.43836,0,534.0154716,6764.195974,0,0,IDN
45,"Korea, South",17622.218,74,13040.44132,48,8458.66464,98,0,0,16,0,0,8289.491347,0,0,1353.386342,0,0,KOR
46,Malaysia,14228.697,73.4,10443.8636,56,7968.07032,75,0,5,35,0.01,0,5976.05274,0,398.403516,2788.824612,0.796807032,0,MYS
47,Philippines,43632.895,25,10908.22375,8,3490.6316,76,1,6,10,11,0,2652.880016,34.906316,209.437896,349.06316,383.969476,0,PHL
48,Singapore,1421.39,82,1165.5398,65,923.9035,90,0.3,16,51,18,0,831.51315,2.7717105,147.82456,471.190785,166.30263,0,SGP
49,Thailand,25004.28,49,12252.0972,22,5500.9416,70,0,5,50,2,0,3850.65912,0,275.04708,2750.4708,110.018832,0,THA
50,Vietnam,38038.096,65.05,24743.78145,33.4,12704.72406,93,0,4,4.8,0,0,11815.39338,0,508.1889626,609.8267551,0,0,VNM
