,Country,Population(x000),Tot Population with a visual correction need(%),Tot Population with a visual correction need(x000),Tot Population with a visual correction (%),Tot Population with a visual correction(x000),Spectacle SV Lenses(%),Spectacle BTF Lenses(%),Spectacle PAL Lenses(%),Contact Lenses(%),Ready-Mades(%),Myopia Control(%),Spectacle SV Lenses(x000),Spectacle BTF Lenses.(x000),Spectacle PAL Lenses.1(x000),Contact Lenses.1(x000),Ready-Mades.1(x000),Myopia Control.1(x000),Code
0,France,32086.55,96,30803.088,94.5,30321.78975,34,1.7,70,4,10,0,10309.40852,515.4704258,21225.25283,1212.87159,3032.178975,0,FRA
1,Germany,42342.095,94,39801.5693,84,35567.3598,70,1,62,5.5,25,0,24897.15186,355.673598,22051.76308,1956.204789,8891.83995,0,DEU
2,Italy,32367.23,93.5,30263.36005,85.8,27771.08334,64,1,27,6.74,20,0,17773.49334,277.7108334,7498.192502,1871.771017,5554.216668,0,ITA
3,Spain,25639,93,23844.27,82,21023.98,39,1.1,68,6,5,0,8199.3522,231.26378,14296.3064,1261.4388,1051.199,0,ESP
4,United Kingdom,30227.33,95,28715.9635,88,26600.0504,50,6,40,12,30,0,13300.0252,1596.003024,10640.02016,3192.006048,7980.01512,0,GBR
5,Austria,4365.992,93,4060.37256,85,3711.0932,28,2,48.2,3,20.1,0,1039.106096,74.221864,1788.746922,111.332796,745.9297332,0,AUT
6,Belgium,5362.477,95,5094.35315,87,4665.35499,20,2,70,10,15,0,933.070998,93.3070998,3265.748493,466.535499,699.8032485,0,BEL
7,Denmark,2750.152,95,2612.6444,88,2420.13376,26,3,71,5,20,0,629.2347776,72.6040128,1718.29497,121.006688,484.026752,0,DNK
8,Finland,2671.884,95,2538.2898,88,2351.25792,19,3,72,5,21,0,446.7390048,70.5377376,1692.905702,117.562896,493.7641632,0,FIN
9,Ireland,2046.266,95,1943.9527,63,1289.14758,50,6,40,12,30,0,644.57379,77.3488548,515.659032,154.6977096,386.744274,0,IRL
10,Netherlands,8344.367,94,7843.70498,88,7343.04296,22,3,55,10,13,0,1615.469451,220.2912888,4038.673628,734.304296,954.5955848,0,NLD
