,Country,Under 18 yrs,19-44 yrs,Over 45 yrs,Total,Code
0,France,1.4,2.9,2.9,2.691229233,FRA
1,Germany,1.3,2.7,2.5,2.881730292,DEU
2,Italy,2,4.2,4,3.800387163,ITA
3,Spain,3,3,3,4.01739576,ESP
4,United Kingdom,2.6,2.6,2.6,2.874769895,GBR
5,Austria,2.3,3.7,4,2.811238692,AUT
6,Belgium,3.6,3.8,4,2.40291782,BEL
7,Denmark,3.2,3.5,3.6,3.96151512,DNK
8,Finland,3,2.5,3.5,2.88448777,FIN
9,Ireland,2.6,3.2,2.6,3.319384974,IRL
10,Netherlands,2.2,2.3,3.2,1.166467448,NLD
11,Norway,3.1,3.3,3.7,3.738185342,NOR
12,Portugal,3,4.4,3.5,3.081109418,PRT
13,Sweden,2.9,2.8,3.2,3.423974795,SWE
14,Switzerland,3,4.2,4.4,2.832007526,CHE
15,Bulgaria,2,3,4,2.089059668,BGR
16,Croatia,2,3,4,3.36980686,HRV
17,Czech Republic,1.5,3.5,3.5,2.082462172,CZE
18,Hungary,2.2,3.2,4,3.479635219,HUN
19,Poland,1.8,3.6,4,3.242361708,POL
20,Romania,2,3,3.2,2.911411105,ROU
21,Slovakia,1.2,3.5,3.5,3.548644962,SVK
22,Slovenia,2,3,4,2.70372932,SVN
23,Morocco,2.2,2.8,3.8,1.881388387,MAR
24,Russia,0,0,0,3.93136252,RUS
25,Saudi Arabia,1.5,2,2.2,2.546396526,SAU
26,South Africa,2.5,2.5,2.5,2.932601128,ZAF
27,Tunisia,2.5,3,3.2,2.004501315,TUN
28,Turkey,2,3,3.5,2.688696953,TUR
29,United Arab Emirates,1,2,3,1.85826858,ARE
30,Canada,2.6,3.1,3.2,3.499649712,CAN
31,United States,1.5,2.6,1.9,2.296033376,USA
32,Brazil,2.74,2.74,3.4,1.846737605,BRA
33,Argentina,2.4,2.4,2.4,2.528729094,ARG
34,Chile,2,2.2,2.7,2.573144009,CHL
35,Colombia,2.3,2.4,2.5,2.775547058,COL
36,Mexico,2,2.1,2,1.365856931,MEX
37,China,1.8,3.3,3.6,3.406831204,CHN
38,Hong Kong,1.5,2,2.6,2.281721276,HKG
39,Taiwan,1.6,4,4.1,4.889556139,TWN
40,Australia,1.8,1.8,2.3,1.97889808,AUS
41,New Zealand,2.3,3,3,2.925810891,NZL
42,India,2,3,3,2.968257321,IND
43,Japan,2.4,4.2,4.5,3.952893674,JPN
44,Indonesia,3,3,3,3.276533985,IDN
45,"Korea, South",1,2,2.5,2.374683935,KOR
46,Malaysia,1.5,2.5,3,2.878981855,MYS
47,Philippines,2,2,2.5,3.222387668,PHL
