,Country,SV(000),BTF(000),PAL(000),Myopia Control(000),TOTAL(000),SV(%),BTF(%),PAL(%),Myopia Control(%),TOTAL(%),Code
0,France,19985.364,40,15586.193,106,35717.557,62.48941279,71.44005287,63.10199595,48.62385321,62.71079894,FRA
1,Germany,6709.866,254.472,2868.065,3.084,9835.487,29.11257376,48.84299424,22.3822772,18.14117647,27.02056868,DEU
2,Italy,2871.982,42.562,1331.011,18.244,4263.799,19.66841529,73.38275862,32.2825855,27.22985075,22.61962334,ITA
3,Spain,3315.784,51.127,1923.292,3.469,5293.672,32.33422538,78.25038836,32.19295155,61.08582528,32.47651534,ESP
4,United Kingdom,8369.261775,484.093692,4593.425357,0.266175939,13447.047,28.7046942,33.55260932,47.90123641,0.778292219,33.43142203,GBR
5,Austria,90.976,1.182,65.768,0.337,158.263,3.613026211,5.6152019,6.893920335,8.425,4.525614446,AUT
6,Belgium,229.277,2.591,169.531,0.651,402.05,8.310174108,6.993252362,13.94075525,10.85,10.00591464,BEL
7,Denmark,298.281,5.629,311.961,0.721,616.592,23.07089674,15.51321221,35.00585927,35.65431189,27.74487017,DNK
8,Finland,213.27,3.385,265.217,0.349,482.221,12.8288007,3.467894824,26.44175863,43.73433584,17.44736003,FIN
9,Ireland,68.909,8.379,16.991,0.348,94.627,6.08759174,6.767081724,6.177249682,26.76923077,6.176148945,IRL
10,Netherlands,872.688,56.96,556.746,1.649,1488.043,16.28483716,41.92859772,20.88643923,47.8109597,18.22736825,NLD
11,Norway,618.56,3.994,269.871,1.11,893.535,45.93322774,22.3468116,36.67031214,50,42.49501642,NOR
12,Portugal,1439.01,26.651,750.805,2.035,2218.501,51.83753602,55.52291667,55.5329142,50.875,53.0741866,PRT
13,Sweden,1406.982,16.904,861.347,2.841,2288.074,46.83513658,22.36480159,54.62744193,33.33333333,49.04779467,SWE
14,Switzerland,414.082,2.249,258.388,3.529,678.248,23.04296049,11.245,19.67920792,10.08285714,21.42963665,CHE
15,Bulgaria,160.78,1.57,21.688,0,184.038,9.633313361,14.27272727,8.852244898,0,9.560415584,BGR
16,Croatia,435.678,2.028,79.035,0,516.741,35.79934265,5.481081081,47.61144578,0,36.39021127,HRV
17,Czech Republic,1150,20,125,0,1295,33.56338697,43.28721542,42.65600031,0,34.36182038,CZE
18,Hungary,436.411,11.202,82.416,0,530.029,18.88407616,34.15243902,22.81727575,0,19.59079653,HUN
19,Poland,5228.179,49.226,608.4,0,5885.805,53.20239123,53.86892069,59.13329484,0,53.65264119,POL
20,Romania,526.99,3.64,102.856,0,633.486,9.33055949,7.428571429,34.28533333,0,10.5581,ROU
21,Slovakia,257.4578479,12.99788166,44.54427046,0,315,17.34765579,26.72714151,23.71656349,0,18.30800935,SVK
22,Slovenia,101.763,0.62,40.942,0,143.325,13.16468305,3.444444444,31.7379845,0,15.57880435,SVN
23,Morocco,896.2,0.007,292.636,0,1188.843,16.98878751,0.006146017,34.86285124,0,19.08705281,MAR
24,Russia,5527.176,41.15,291.553,59.769,5919.648,31.25394041,39.46554125,26.03155158,65.94450935,31.15664016,RUS
25,Saudi Arabia,584.04,18.674,96.606,0,699.32,8.723525019,5.245505618,11.37879859,0,8.852151899,SAU
26,South Africa,1330.713,152.553,395.799,1.209,1880.274,56.43875647,36.58345324,52.28520476,50.375,53.20225228,ZAF
27,Tunisia,1508.597,4.962,133.285,0.438,1647.282,49.08636255,49.95211874,49.08636255,49.08636255,49.08892534,TUN
28,Turkey,10986.417,6.918,1379.244,6.902,12379.481,41.53235392,36.41062455,45.96861142,53.48333333,41.98571962,TUR
29,United Arab Emirates,207.4,7.9,66.732,0,282.032,13.10170562,13.59958685,18.64022346,0,14.10801915,ARE
30,Canada,4934.40698,176.93402,3587.556,11.255,8710.152,54.496176,21.40982005,60.54245301,2.653980381,53.66442487,CAN
31,United States,67314.25371,9182.917069,33917.20085,0,110414.3716,62.08455789,37.19911547,50.13581141,0,54.99819268,USA
32,Brazil,10352.039,93.975,11276.749,5.284,21728.047,14.90445353,31.85494368,60.6000254,58.71111111,24.58799751,BRA
33,Argentina,1176.931,36.681,334.477,0,1548.089,7.93347489,7.516598361,34.18642889,0,9.49666801,ARG
34,Chile,839.338,31.559,121.33,0,992.227,19.95550584,9.604864865,30.77006735,0,20.13066894,CHL
35,Colombia,1925.344,225.135,780.385,0.75,2931.614,20.72319711,21.01963457,22.00095854,84.26966292,21.07592349,COL
36,Mexico,7202.077,2250.772,1384.66,0,10837.509,24.14017711,44.83490693,29.68970092,0,27.42402271,MEX
37,China,104533.047,69.357,1041.838,5278.731,110922.973,33.42918036,69.357,20.03534615,40.60562308,33.51147221,CHN
38,Hong Kong,544.4637223,0.1,220.7862016,19.94960606,785.29953,28.07997639,17.98561151,44.06171453,27.59586962,31.25064039,HKG
39,Taiwan,4052.464,11.521,854.529,13.472,4931.986,72.00201104,100,60.9800493,28.55185787,69.57929086,TWN
40,Australia,2268.358,162.666,938.804,1.507,3371.335,18.43173638,19.3704518,23.50314944,16.14152206,19.6576081,AUS
41,New Zealand,49.296,5.189,55.088,0.479,110.052,6.433318808,6.486191197,6.479885509,53.22222222,6.483945089,NZL
42,India,9795.791,4327.679,5759.188,1.335,19883.993,7.72771453,9.614179575,32.48082596,18.54166667,10.49212181,IND
43,Japan,9279.041,12.517,3242.195,0,12533.753,28.03759178,16.91486486,30.46316828,0,28.60346653,JPN
44,Indonesia,1500.093,331.024,533.301,1.531,2365.949,9.218860619,7.909772999,11.77784894,10.20666667,9.463796,IDN
45,"Korea, South",0,0,0,0,0,0,0,0,0,0,KOR
46,Malaysia,4396.652,83.373,704.078,5.022,5189.125,47.30940237,81.73823529,55.35204403,4.569608735,48.14865504,MYS
47,Philippines,1272.444,259.935,476.226,0.985,2009.59,34.15040258,45.20608696,45.26863118,27.28531856,37.51607827,PHL
48,Singapore,972.99,2.641,232.946,16.316,1224.893,49.51954814,48,53.80669564,48,50.2564448,SGP
49,Thailand,2193.47,135.722,588.072,0.575,2917.839,38.66459312,82.39824787,61.8142617,45.37935939,42.97001954,THA
50,Vietnam,4525.809,8.748,77.735,0,4612.292,25.69494947,0.386027738,10.77156702,0,22.38820199,VNM
