,Country,SV(000),BTF(000),PAL(000),Myopia Control(000),TOTAL(000),SV(%),BTF(%),PAL(%),Myopia Control(%),TOTAL(%),Code
0,France,6633.002404,11.24237696,4508.193159,92.18749104,11244.62543,20.73979865,20.0789001,18.25179417,42.28783992,19.73870836,FRA
1,Germany,3654.924,43.9712,2805.712,10.9928,6515.6,15.85787921,8.439769674,21.8956766,64.66352941,17.9,DEU
2,Italy,2667.74625,10.46175,774.1695,34.8725,3487.25,18.26973189,18.0375,18.77684938,52.04850746,18.5,ITA
3,Spain,1867.900949,2.7547,881.2420556,1.92829,2753.825994,18.21503761,4.216096091,14.75063734,33.95537216,16.9,ESP
4,United Kingdom,2716.646494,105.5847949,1598.855465,3.418936215,4424.50569,9.317489278,7.318098606,16.67321175,9.996889518,11,GBR
5,Austria,283.3659615,3.1053804,98.5958277,3.1053804,388.17255,11.25361245,14.75240095,10.33499242,77.63451,11.1,AUT
6,Belgium,433.153705,9.482771278,190.1376004,2.08942418,634.8635008,15.69971128,25.59452437,15.63526288,34.82373633,15.8,BEL
7,Denmark,78.87169752,5.893709265,87.71226142,0.866721951,173.3443901,6.100424731,16.24273628,9.842394015,42.86043655,7.8,DNK
8,Finland,349.0205267,2.321644302,421.7653815,0.441091891,773.5486444,20.99458328,2.378498747,42.04941017,55.27467301,28,FIN
9,Ireland,50.56048725,2.374810765,22.98203966,0.68946119,76.60679886,4.466638676,1.917954234,8.355352667,53.03547614,5,IRL
10,Netherlands,2089.928742,22.85859562,1149.460808,1.63275683,3263.880903,38.99921764,16.82634937,43.1222556,47.34000666,40,NLD
11,Norway,109.5076711,0.529875828,66.3227911,0.254519799,176.6148578,8.131855914,2.964705882,9.012,11.46485583,8.4,NOR
12,Portugal,423.8781079,5.69734,139.015096,1.143456138,569.734,15.26938429,11.86945833,10.28218166,28.58640345,13.63,PRT
13,Sweden,326.7124723,0.536473682,203.8599992,5.418384188,536.5273294,10.87549327,0.709780375,12.92899408,63.57367345,11.5,SWE
14,Switzerland,28.485,0,37.18875,13.45125,79.125,1.585141903,0,2.832349581,38.43214286,2.5,CHE
15,Bulgaria,186.9175,0,22.9075,0,209.825,11.19937088,0,9.35,0,10.9,BGR
16,Croatia,148.248,8.52,13.632,0,170.4,12.18142975,23.02702703,8.212048193,0,12,HRV
17,Czech Republic,607.4796028,10.17553774,57.6613805,3.052661321,678.3691824,17.72962868,22.0235347,19.67683092,97.841709,18,CZE
18,Hungary,1284.89606,9.09048,194.03846,0.4588528,1488.483853,55.59913717,27.71487805,53.72050388,91.77056,55,HUN
19,Poland,808.7893715,7.333582384,209.5309253,22.00074715,1047.654626,8.230308979,8.025274608,20.36530898,95.6554224,9.55,POL
20,Romania,546.84,0,38.22,2.94,588,9.682011331,0,12.74,98,9.8,ROU
21,Slovakia,183.2480767,7.166125903,14.33225181,0,204.7464544,12.34735932,14.73548276,7.630875,0,11.9,SVK
22,Slovenia,128.8,4.83,27.37,0,161,16.66235446,26.83333333,21.21705426,0,17.5,SVN
23,Morocco,149.4847438,0,37.37118595,0,186.8559298,2.83370291,0,4.452172995,0,3,MAR
24,Russia,1860.554277,9.844202526,98.44202526,0.749061366,1969.589567,10.52068046,9.441234043,8.789477926,0.826456596,10.36251736,RUS
25,Saudi Arabia,632.395,38.315,79.79,0,750.5,9.445780433,10.76264045,9.39811543,0,9.5,SAU
26,South Africa,582.08274,185.828236,114.8615,1.1312476,883.9037236,24.68753669,44.56312614,15.17324967,47.13531667,25,ZAF
27,Tunisia,0,0,0,0,0,0,0,0,0,0,TUN
28,Turkey,2978.882264,3.272832771,287.109992,3.977966066,3273.243055,11.26117755,17.22548211,9.569044822,30.82510651,11.1,TUR
29,United Arab Emirates,184.715916,0,45.179434,0,229.89535,11.66872495,0,12.61995363,0,11.5,ARE
30,Canada,1111.771051,137.4099052,428.2906136,107.0726534,1784.544223,12.27853137,16.62722264,7.227696054,25.24822048,10.99481839,CAN
31,United States,15004.33726,5604.743749,20888.59707,0,41497.67808,13.83863883,22.70427886,30.87715781,0,20.67110143,USA
32,Brazil,2896.636112,0,1506.6655,2.642245192,4405.943857,4.17046133,0,8.096656896,29.35827991,4.983383781,BRA
33,Argentina,0,0,0,0,0,0,0,0,0,0,ARG
34,Chile,0,0,0,0,0,0,0,0,0,0,CHL
35,Colombia,483.3647577,27.8195544,114.7556619,0,625.939974,5.202635555,2.597360994,3.235242297,0,4.5,COL
36,Mexico,2272.302551,217.3506788,276.6281366,0,2766.281366,7.616384278,4.329580008,5.931424784,0,7,MEX
37,China,1510.3199,0,160.2371,1738.743,3409.3,0.482993252,0,3.081482692,13.37494615,1.03,CHN
38,Hong Kong,157.8708694,0,87.16771802,48.97153162,294.010119,8.141975496,0,17.39582944,67.74128758,11.7,HKG
39,Taiwan,246.680409,0,245.261751,5.369840022,497.312,4.382885458,0,17.50212534,11.38056035,7.015959959,TWN
