,Country,SV(000),BTF(000),PAL(000),Myopia Control(000),TOTAL(000),SV(%),BTF(%),PAL(%),Myopia Control(%),TOTAL(%),Code
0,France,3291.789697,0,2364.413082,19.29669822,5675.499478,10.29263241,0,9.572522601,8.851696433,9.964710258,FRA
1,Germany,3383.744,60.424,2598.232,0,6042.4,14.68129122,11.59769674,20.27651007,0,16.6,DEU
2,Italy,2287.65485,0,671.79515,0,2959.45,15.66672271,0,16.29384308,0,15.7,ITA
3,Spain,1030.781457,0,371.0185431,0,1401.8,10.05177658,0,6.210280071,0,8.6,ESP
4,United Kingdom,2614.480635,201.113895,1206.68337,0,4022.2779,8.967083255,13.93923544,12.58355604,0,10,GBR
5,Austria,443.076235,3.16483025,186.7249847,0,632.96605,17.59635564,15.03482304,19.57284955,0,18.1,AUT
6,Belgium,391.7670337,12.05437027,198.8971094,0,602.7185134,14.19964611,32.53541233,16.35556874,0,15,BEL
7,Denmark,87.47224611,4.555846151,90.2057538,0,182.2338461,6.765644334,12.55565965,10.12219451,0,8.2,DNK
8,Finland,38.47296272,1.326653887,48.64397585,0,88.44359245,2.314258784,1.359142141,4.84973538,0,3.2,FIN
9,Ireland,80.8967796,4.902835127,36.77126345,0,122.5708782,7.146621882,3.95964745,13.36856427,0,8,IRL
10,Netherlands,179.6032513,16.3275683,212.2583879,0,408.1892074,3.351495266,12.01882098,7.962916517,0,5,NLD
11,Norway,29.26933144,1.219555476,30.48888691,0,60.97777382,2.173491443,6.823529412,4.142857143,0,2.9,NOR
12,Portugal,247.8322,5.32532,155.6632,0.81928,409.64,8.927672911,11.09441667,11.5135503,20.482,9.8,PRT
13,Sweden,121.289702,9.703176162,111.5865259,0,242.579404,4.037450202,12.83776678,7.076923077,0,5.2,SWE
14,Switzerland,52.2225,1.04445,51.17805,0,104.445,2.906093489,5.22225,3.897795126,0,3.3,CHE
15,Bulgaria,78.395625,1.299375,6.93,0,86.625,4.697161474,11.8125,2.828571429,0,4.5,BGR
16,Croatia,321.204,14.768,33.228,0,369.2,26.39309778,39.91351351,20.01686747,0,26,HRV
17,Czech Republic,335.4158735,7.53743536,33.91845912,0,376.871768,9.789298051,16.31372941,11.57460642,0,10,CZE
18,Hungary,252.96425,3.273655,41.248053,0,297.485958,10.94609476,9.980655488,11.41972674,0,11,HUN
19,Poland,160.8940803,1.336171031,28.63223638,0,190.8624877,1.637271755,1.46219663,2.782903478,0,1.74,POL
20,Romania,357.12,2.604,12.276,0,372,6.322946176,5.314285714,4.092,0,6.2,ROU
21,Slovakia,92.39398823,3.613172724,7.226345448,0,103.2335064,6.225559322,7.429655172,3.8475,0,6,SVK
22,Slovenia,72.864,2.484,7.452,0,82.8,9.426131953,13.8,5.776744186,0,9,SVN
23,Morocco,149.4847438,0,37.37118595,0,186.8559298,2.83370291,0,4.452172995,0,3,MAR
24,Russia,1154.5292,6.108620104,61.08620104,0,1221.724021,6.528394756,5.85856619,5.454132158,0,6.430249854,RUS
25,Saudi Arabia,985.13,45.82,114.55,0,1145.5,14.71441374,12.87078652,13.49234393,0,14.5,SAU
26,South Africa,173.1758,42.05698,32.16122,0,247.394,7.344804479,10.08560671,4.248509908,0,7,ZAF
27,Tunisia,0,0,0,0,0,0,0,0,0,0,TUN
28,Turkey,811.1612826,0.899291888,85.43272932,2.005420909,899.4987247,3.066462658,4.733127968,2.847374313,15.53992973,3.05,TUR
29,United Arab Emirates,217.4010375,0,72.4670125,0,289.86805,13.7334831,0,20.24218226,0,14.5,ARE
30,Canada,529.5229404,49.64277566,231.6662864,16.54759189,827.3795944,5.848114166,6.007001333,3.909526502,3.90199771,5.097597618,CAN
31,United States,9045.489515,2124.935895,4339.678263,0,15510.10367,8.34273852,8.607911313,6.414836293,0,7.72588214,USA
32,Brazil,3870.860953,0,1993.440654,0,5864.301608,5.573111462,0,10.71253375,0,6.636189316,BRA
33,Argentina,16.30139117,0,16.30139117,0,32.60278233,0.109884673,0,1.666142515,0,0.2,ARG
34,Chile,29.57359249,5.914718499,38.44567024,0,73.93398124,0.70312079,1.800122688,9.750068925,0,1.5,CHL
35,Colombia,438.1579818,34.774443,222.5564352,0,695.48886,4.716058129,3.246701243,6.274409304,0,5,COL
36,Mexico,2213.025093,410.9903744,537.4489512,0,3161.464419,7.417695992,8.186842198,11.52391101,0,8,MEX
37,China,5846.784,0,338.944,2287.872,8473.6,1.869774224,0,6.518153846,17.59901538,2.56,CHN
38,Hong Kong,82.1368782,0,62.86288151,3.261753286,148.261513,4.236097846,0,12.54537792,4.511914577,5.9,HKG
39,Taiwan,304.710058,0,207.4166711,22.45232007,534.5790492,5.413925198,0,14.80146236,47.58428231,7.541714666,TWN
40,Australia,294.2988196,17.83629209,133.7721907,0,445.9073024,2.391350157,2.123965895,3.349014053,0,2.6,AUS
41,New Zealand,54.99252,5.0919,41.75358,0,101.838,7.176736717,6.364817297,4.911385747,0,6,NZL
42,India,1442.914481,387.9018,1000.740548,0.71625,2832.273079,1.138287985,0.861745421,5.644003909,9.947916667,1.494035615,IND
43,Japan,205.07292,0,57.84108,0,262.914,0.619649252,0,0.54346594,0,0.6,JPN
44,Indonesia,142.025,0,332.5,0.475,475,0.872818338,0,7.34319788,3.166666667,1.9,IDN
45,"Korea, South",0,0,-0.03202868,0,-0.03202868,0,0,0,0,0,KOR
46,Malaysia,751.17781,0,146.57128,18.32141,916.0705,8.082917016,0,11.52289937,16.67098271,8.5,MYS
47,Philippines,4.6602507,0.1606983,10.1239929,1.1248881,16.06983,0.125073824,0.02794753,0.96235674,31.16033518,0.3,PHL
