,Country,"Lenses sold
to consumers",Of which SV,Of which BTF,Of which PAL,Of which Myopia Control,Of which SV.1,Of which BTF.1,Of which PAL.1,Of which Myopia Control.1,Code
0,France,3421.4915778231684,30.3,0.4664722622600976,68.60000000000001,0.6335277377399035,1036.7119480804201,15.960309166110441,2347.1432223866937,21.676098189944447,FRA
1,Germany,2960.0,25.22365145228216,2.000000000000001,72.6,0.17634854771784234,746.6200829875519,59.200000000000024,2148.9599999999996,5.219917012448133,DEU
2,Italy,1600.0,46.72628439440757,0.40270066882495437,51.20772973899107,1.6632851977764065,747.6205503105213,6.44321070119927,819.323675823857,26.612563164422504,ITA
3,Spain,850.0,30.820898805656537,1.055354617955968,68.00669018127908,0.11705639510841011,261.97763984808057,8.970514252625728,578.0568665408722,0.9949793584214859,ESP
4,United Kingdom,1659.3520335888577,33.2,1.9999999999999913,64.2,0.6,550.9048751515008,33.187040671777005,1065.3040055640467,9.956112201533145,GBR
5,Austria,250.0,29.830000000000002,0.7000000000000043,69.1,0.37,74.575,1.7500000000000109,172.75,0.925,AUT
6,Belgium,403.81053793011,35.099999999999994,1.1900000000000015,63.2,0.51,141.7374988134686,4.805345401368315,255.20825997182953,2.0594337434435612,BEL
7,Denmark,336.64742603846327,26.72,1.3660000000000034,71.8,0.11399999999999999,89.95219223747738,4.59860383968542,241.7128518956166,0.38377806568384804,DNK
8,Finland,234.7039645008348,25.648785304817643,3.751214695182359,70.39999999999999,0.2,60.19871595671453,8.8042496065309,165.23159100858769,0.4694079290016696,FIN
9,Ireland,63.18897295872846,46.60021934401849,7.368216708205222,45.55132266119944,0.48024128657684284,29.446199999999994,4.65590046328831,28.78341295872847,0.3034595367116909,IRL
10,Netherlands,741.196852711987,27.500000000000004,2.4750000000000023,69.89999999999999,0.125,203.82913449579647,18.344622104621696,518.0966000456789,0.9264960658899838,NLD
11,Norway,287.4147714743415,35.0,0.19957932692308294,64.60042067307693,0.2,100.59517001601951,0.5736204663860077,185.6711514489873,0.574829542948683,NOR
12,Portugal,274.0,29.666999999999998,2.3599999999999977,67.71000000000001,0.263,81.28757999999999,6.466399999999993,185.52540000000002,0.7206199999999999,PRT
13,Sweden,459.42571525987364,26.8,1.7000000000000015,71.3,0.2,123.12609168964615,7.810237159417859,327.5705349802899,0.9188514305197474,SWE
14,Switzerland,547.4220044669016,17.4,0.6500000000000015,81.0,0.95,95.25142877724087,3.5582430290348683,443.41182361819034,5.200509042435565,CHE
15,Bulgaria,28.71459249411995,59.0,1.0000000000000009,40.0,0.0,16.941609571530773,0.2871459249411998,11.48583699764798,0.0,BGR
16,Croatia,53.08649421749683,56.920222007721996,0.9797779922780026,42.1,0.0,30.216950364715693,0.5201297872149684,22.349414065566165,0.0,HRV
17,Czech Republic,136.10896068090875,78.67222089921391,1.2765206165031782,19.91372161744952,0.13753686683338068,107.07994221050875,1.7374589440000048,27.104359526399993,0.18719999999999995,CZE
18,Hungary,70.9107083866428,60.0,0.9800000000000009,39.0,0.02,42.54642503198567,0.6949249421891,27.65517627079069,0.014182141677328558,HUN
19,Poland,516.3588736363406,69.0,0.9999999999999963,28.9,1.0999999999999999,356.28762280907506,5.163588736363387,149.22771448090242,5.679947609999746,POL
