,Country,Manufacturers Shipments,"Of which 
through Internet 
Pure Players",Of which 2nd pair for Free,"Market to consumer 
( out of POS )",Returns from ECP's to Manufacturers,Code
0,France,59804.0,0.0,18128.738675958193,56955.99100000001,5.0,FRA
1,Germany,37856.0,0.0,2460.64,36400.0,4.0,DEU
2,Italy,19498.44,0.0,150.13798799999998,18850.0,3.44,ITA
3,Spain,16466.260000000002,0.8,493.98780000000005,16300.0,1.0,ESP
4,United Kingdom,42654.2885233128,7.6,4350.737429377906,40223.0,5.7,GBR
5,Austria,3497.0,6.0,192.335,3497.0,10.5,AUT
6,Belgium,4229.97182763023,0.0,845.9943655260461,4018.4732362487184,5.0,BEL
7,Denmark,2339.33050134436,0.0,376.632210716442,2222.363976277142,5.0,DNK
8,Finland,2909.223436,0.0,468.3849731960001,2763.7622642,5.0,FIN
9,Ireland,1547.32,4.6,154.732,1531.8359772677218,5.7,IRL
10,Netherlands,8593.3717353429,0.0,2629.5717510149275,8163.703148575754,5.0,NLD
11,Norway,2213.34932210816,0.0,400.6162273015769,2102.681856002752,5.0,NOR
12,Portugal,4180.0,0.0,647.9,4180.0,0.0,PRT
13,Sweden,4910.51425188225,0.0,726.756109278573,4664.988539288138,5.0,SWE
14,Switzerland,3418.2,1.5,102.54599999999999,3165.0,8.0,CHE
15,Bulgaria,1950.0,0.1,5.85,1925.0,1.5,BGR
16,Croatia,1441.3,5.0,172.956,1420.0,1.5,HRV
17,Czech Republic,3814.572511999997,2.0,38.14572511999997,3768.717679999997,1.5,CZE
18,Hungary,2760.12,0.0,27.6012,2706.0,2.0,HUN
19,Poland,11134.758593272905,0.0,222.6951718654581,10970.2055106137,1.5,POL
20,Romania,6000.0,0.1,300.0,6000.0,1.0,ROU
21,Slovakia,1601.4,0.2,128.112,1720.55844,2.0,SVK
22,Slovenia,935.0,2.0,93.5,920.0,1.5,SVN
23,Morocco,6851.384091564715,0.0,1027.7076137347074,6228.530992331559,10.0,MAR
24,Russia,19000.0,0.0,570.0,19000.0,0.0,RUS
25,Saudi Arabia,8700.0,1.0,0.0,7900.0,4.0,SAU
26,South Africa,3500.0,0.0,70.0,3534.2000000000003,3.0,ZAF
27,Tunisia,3389.267148127801,0.0,33.892671481278015,3355.7100476512883,1.0,TUN
28,Turkey,30074.679519795918,0.0,300.74679519795916,29484.979921368547,2.0,TUR
29,United Arab Emirates,2300.0,0.0,69.0,1999.0,2.5,ARE
30,Canada,18665.39112990123,0.0,951.9349476249627,16230.774895566286,15.0,CAN
31,United States,230920.0,11.0,4618.4,200760.0,15.0,USA
32,Brazil,0.0,0.0,0.0,88368.98883300123,10.0,BRA
33,Argentina,19142.0,0.0,153.136,16301.0,3.0,ARG
34,Chile,4978.221403239413,0.0,49.78221403239413,4928.93208241526,1.0,CHL
35,Colombia,14380.0,0.06999999999999999,71.9,13910.0,3.2684283727399177,COL
36,Mexico,41467.8,2.0,3110.085,39518.30523328178,2.08,MEX
37,China,331000.0,0.0,0.0,331000.0,0.0,CHN
38,Hong Kong,2512.715,0.0,2.5127150000000005,2512.715,0.0,HKG
39,Taiwan,7300.944745924226,0.0,0.0,7088.295869829345,3.0,TWN
40,Australia,17865.0,4.0,2679.75,17150.399999999998,5.0,AUS
41,New Zealand,1767.6767676767677,4.0,265.1515151515152,1696.969696969697,3.0,NZL
42,India,236891.94323123945,0.26383337123032213,5093.176779471648,189513.55458499157,2.0,IND
43,Japan,44476.0,0.0,0.0,43819.0,1.5,JPN
44,Indonesia,25900.0,0.0,518.0,25000.0,6.0,IDN
45,"Korea, South",31804.635293499785,0.0,0.0,27345.9582182241,7.000000000000001,KOR
46,Malaysia,11392.5,0.1,22.785,10777.3,5.0,MYS
47,Philippines,6080.0,0.0,364.8,5357.0,2.0,PHL
