,Country,SV,BTF,PAL,Myopia Control,TOT LENS,"Of which
SV
Optimized",SV.1,BTF.1,PAL.1,Myopia Control.1,TOT LENS.1,"Of which
SV
Optimized.1",Code
0,France,56.152126296950925,0.09830572520457381,43.36681631963879,0.3827516582057188,100.00000000000001,11.0,31982.000000000004,55.991000000001804,24700.0,218.0,56955.99100000001,3518.0200000000004,FRA
1,Germany,63.318681318681314,1.4313186813186813,35.20329670329671,0.046703296703296704,100.0,2.0,23048.0,521.0,12814.0,17.0,36400.0,460.96000000000004,DEU
2,Italy,77.46419098143235,0.3076923076923077,21.872679045092838,0.35543766578249336,99.99999999999999,6.0,14602.0,58.0,4123.0,67.0,18850.0,876.12,ITA
3,Spain,62.912387392194766,0.40084475393010793,36.651928006019126,0.034839847855999216,100.0,11.63534578915992,10254.719144927749,65.33769489060761,5974.264264981119,5.678895200527874,16300.000000000004,1193.172032219527,ESP
4,United Kingdom,72.48733857996238,3.586997308167096,23.84063766454327,0.08502644732727194,100.00000000000001,1.415023830190725,29156.422000000006,1442.79,9589.367,34.2,40222.779,412.57031933097124,GBR
5,Austria,72.0035458457843,0.6019359174161079,27.280136114725266,0.11438212207431978,100.0,1.0,2518.0,21.05,954.0,4.0,3497.05,25.18,AUT
6,Belgium,68.66368307780417,0.9220722237676343,30.2649212613808,0.14932343704739018,99.99999999999999,29.204321089666085,2758.9915328300135,37.05,1216.0818901500002,6.0,4018.123422980014,805.7447460843772,BEL
7,Denmark,58.17627716609755,1.632729826971006,40.100000000000016,0.090993006931406,99.99999999999999,12.5,1292.8886264784953,36.28519950453572,891.1679544871336,2.0221958069749277,2222.36397627714,161.61107830981192,DNK
8,Finland,60.14884807152975,3.531639447606595,36.29063984092294,0.028872639940723643,100.00000000000001,27.799075985451687,1662.4313142000005,97.60965000000003,1003.0233000000002,0.7979999999999983,2763.8622642000005,462.14054424040125,FIN
9,Ireland,73.88105999282503,8.081527560811832,17.952563580512585,0.08484886585055636,100.00000000000001,11.305685473219695,1131.9583005368218,123.81999127200467,275.0576854588956,1.3,1532.135977267722,127.975645146696,IRL
10,Netherlands,65.64234246088762,1.6640567355483094,32.65135323874328,0.042247564820803225,100.00000000000001,10.8,5358.899148575754,135.85000000000002,2665.586,3.449,8163.7841485757535,578.7611080461814,NLD
11,Norway,64.04442054709028,0.8499999999999982,34.99999999999998,0.1055794529097368,99.99999999999999,12.468249229428563,1346.6504106257646,17.872795776023334,735.9386496009621,2.2200000000000033,2102.68185600275,167.90372944594347,NOR
12,Portugal,66.41148325358853,1.1483253588516746,32.344497607655505,0.09569377990430622,100.00000000000003,3.05,2776.0,48.0,1352.0,4.0,4180.0,84.66799999999999,PRT
13,Sweden,64.3970790923247,1.6202194941943842,33.80000000000004,0.18270141348086996,100.0,13.033650787732764,3004.11635929326,75.58305371548012,1576.7661262793897,8.523000000000001,4664.98853928813,391.5460355274348,SWE
14,Switzerland,56.77725118483412,0.631911532385466,41.484992101105846,1.1058451816745656,100.0,9.0,1797.0,20.0,1313.0,35.0,3165.0,161.73,CHE
15,Bulgaria,86.7012987012987,0.5714285714285714,12.727272727272727,0.0,100.0,0.2,1669.0,11.0,245.0,0.0,1925.0,3.338,BGR
16,Croatia,85.70422535211267,2.6056338028169015,11.690140845070422,0.0,99.99999999999999,3.0,1217.0,37.0,166.0,0.0,1420.0,36.51,HRV
17,Czech Republic,90.91560961656225,1.225961244200708,7.775642359623464,0.08278677961359006,100.0,4.0,3426.352653499159,46.20301816014002,293.04200834069843,3.120000000000002,3768.717679999997,137.05410613996636,CZE
18,Hungary,85.41859175753096,1.212345222694511,13.350582147477361,0.018480872297172428,100.0,4.5,2311.0,32.8,361.2,0.5,2705.5,103.99499999999999,HUN
19,Poland,89.57865396336875,0.83299330265266,9.378693945200682,0.2096587887779077,99.99999999999999,1.7999999999999998,9826.96243342307,91.3810771906453,1028.862,23.0,10970.205510613716,176.88532380161524,POL
20,Romania,94.13333333333334,0.8166666666666665,5.0,0.05,100.0,3.5999999999999996,5648.0,49.0,300.0,3.0,6000.0,203.32799999999997,ROU
21,Slovakia,86.25730994152048,2.8265107212475638,10.916179337231972,0.0,100.0,2.5,1484.1074263157896,48.631768771929835,187.81924491228074,0.0,1720.55844,37.10268565789474,SVK
22,Slovenia,84.02173913043478,1.956521739130435,14.021739130434781,0.0,100.0,5.0,773.0,18.0,129.0,0.0,920.0,38.650000000000006,SVN
23,Morocco,84.69483484460956,1.8285998770396277,13.476565278350813,0.0,100.0,4.5,5275.244037200535,113.89491006715,839.3920450638743,0.0,6228.530992331559,237.38598167402407,MAR
24,Russia,93.07933021346983,0.5487904075615427,5.8948423584437775,0.47703702052485225,100.0,1.662776726650006,17684.73327476672,104.26817596579494,1119.998549267481,90.63529411764706,18999.635294117645,294.05762906295047,RUS
25,Saudi Arabia,84.74683544303797,4.506329113924051,10.746835443037975,0.0,100.0,4.0,6695.0,356.0,849.0,0.0,7900.0,267.8,SAU
26,South Africa,66.71382491087093,11.798992699903796,21.41927451757116,0.06790787165412256,100.00000000000001,2.6,2357.8,417.0,757.0,2.4,3534.2000000000003,61.302800000000005,ZAF
27,Tunisia,91.58576150014933,0.29601820305537413,8.091629654273081,0.026590642522201363,99.99999999999999,0.36398343629704777,3073.3526008784565,9.933512582805983,271.531629327173,0.8923048628525472,3355.7100476512883,11.186494406202097,TUN
28,Turkey,89.71575090067913,0.06443941555612383,10.176041789572523,0.04376789419222706,100.0,0.3309142892319478,26452.67113937026,18.99994873817035,3000.4038784455306,12.90495481458398,29484.979921368547,87.53566868371169,TUR
29,United Arab Emirates,79.18602964348779,2.9058221490778307,17.908148207434383,0.0,100.0,17.0,1583.0,58.09,358.0,0.0,1999.09,269.11,ARE
30,Canada,55.78657295074153,5.09165622098728,36.50895657430821,2.6128142539629744,100.0,8.851040212785684,9054.593077585729,826.4152596845427,5925.6865582960145,424.08,16230.774895566286,801.4256744012217,CAN
31,United States,54.00652768739177,12.296198400220964,33.697273912387274,0.0,100.0,4.8,108423.50498520772,24685.84790828361,67650.64710650868,0.0,200760.0,5204.328239289971,USA
32,Brazil,78.59814758497436,0.33383968455377494,21.057828106993437,0.010184623478440676,100.00000000000001,0.4,69456.01177718487,295.0091544713629,18608.48890134499,9.0,88368.50983300123,277.8240471087395,BRA
33,Argentina,91.00450292523912,2.9936095333681627,6.001887541392708,0.0,99.99999999999999,2.0,14835.0,488.0,978.3911654317393,0.0,16301.39116543174,296.7,ARG
34,Chile,85.33384425468411,6.666212299102346,7.999943446213549,0.0,100.0,0.0,4206.0472266273955,328.5730766923674,394.31177909549655,0.0,4928.932082415259,0.0,CHL
35,Colombia,66.79306984155001,7.700123334829547,25.500408446513433,0.006398377107003554,99.99999999999999,1.4000000000000001,9290.7672,1071.07,3547.05,0.89,13909.7772,130.0707408,COL
36,Mexico,75.49514035048718,12.703310688913083,11.801548960599737,0.0,99.99999999999999,1.24,29834.4,5020.133092776783,4663.772140504998,0.0,39518.30523328178,369.94656,MEX
37,China,94.47129909365559,0.030211480362537763,1.570996978851964,3.927492447129909,100.0,1.5,312700.0,100.0,5200.000000000001,13000.0,331000.0,4690.5,CHN
38,Hong Kong,77.16063507324385,0.022125769079396892,19.9404116427707,2.876827514906043,99.99999999999999,8.0,1938.9750000000001,0.556,501.084,72.292,2512.907,155.11800000000002,HKG
