,Country,HMC(%),HC Only(%),Un-coated(%),TOT LENS(%),HMC(x000),HC Only(x000),Un-coated(x000),TOT LENS(x000),Code
0,France,69.17206848,30,0.827931519,100,39397.6371,17086.7973,471.5566013,56955.991,FRA
1,Germany,85,2.3,12.7,100,30940,837.2,4622.8,36400,DEU
2,Italy,62,5,33,100,11687,942.5,6220.5,18850,ITA
3,Spain,85,6,9,100,13855,978,1467,16300,ESP
4,United Kingdom,46.12653908,17.86125378,36.01220713,100,18553.37588,7184.292635,14485.11049,40222.779,GBR
5,Austria,84.5,4.7,10.8,100,2955.00725,164.36135,377.6814,3497.05,AUT
6,Belgium,90.25095564,5.989438162,3.759606196,100,3626.394788,240.6630177,151.0656172,4018.123423,BEL
7,Denmark,89.61231685,6.30244605,4.085237096,100,1991.511848,140.0632906,90.78883756,2222.363976,DNK
8,Finland,88.0815394,10.959759,0.958701606,100,2434.452429,302.9126432,26.49719192,2763.862264,FIN
9,Ireland,53,10.2,36.8,100,812.032068,156.2778697,563.8260396,1532.135977,IRL
10,Netherlands,83,0,17,100,6775.940843,0,1387.843305,8163.784149,NLD
11,Norway,93.72661648,3.543106226,2.73027729,100,1970.772559,74.50025175,57.40904521,2102.681856,NOR
12,Portugal,56,30,14,100,2340.8,1254,585.2,4180,PRT
13,Sweden,82,13.4,4.6,100,3825.290602,625.1084643,214.5894728,4664.988539,SWE
14,Switzerland,84.2,8.2,7.6,100,2664.93,259.53,240.54,3165,CHE
15,Bulgaria,90.8,8.2,1,100,1747.9,157.85,19.25,1925,BGR
16,Croatia,46,28,26,100,653.2,397.6,369.2,1420,HRV
17,Czech Republic,82,18,0,100,3090.348498,678.3691824,0,3768.71768,CZE
18,Hungary,98,1.5,0.5,100,2651.39,40.5825,13.5275,2705.5,HUN
19,Poland,82,12,6,100,8995.568519,1316.424661,658.2123306,10970.20551,POL
20,Romania,68.6,17.2,14.2,100,4116,1032,852,6000,ROU
21,Slovakia,66.2,33.8,0,100,1139.009687,581.5487527,0,1720.55844,SVK
22,Slovenia,50,28,22,100,460,257.6,202.4,920,SVN
23,Morocco,67,15,18,100,4173.115765,934.2796488,1121.135579,6228.530992,MAR
24,Russia,76,0.7,23.3,100,14439.72282,132.9974471,4426.915024,18999.63529,RUS
25,Saudi Arabia,80,5,15,100,6320,395,1185,7900,SAU
26,South Africa,34,37,29,100,1201.628,1307.654,1024.918,3534.2,ZAF
27,Tunisia,81.50295657,4.532662765,13.96438067,100,2735.002903,152.1030198,468.6041252,3355.710048,TUN
28,Turkey,79.14275171,0,20.85724829,100,23335.22445,0,6149.755471,29484.97992,TUR
29,United Arab Emirates,70,25,5,100,1399.363,499.7725,99.9545,1999.09,ARE
30,Canada,69.43029006,22.56970994,8,100,11269.07409,3663.238815,1298.461992,16230.7749,CAN
31,United States,48.1,43.6,8.3,100,96565.56,87531.36,16663.08,200760,USA
32,Brazil,47.92226186,11.60928145,40.46845669,100,42348.18868,10258.94902,35761.37213,88368.50983,BRA
33,Argentina,31.5,15.6,52.9,100,5134.938217,2543.017022,8623.435927,16301.39117,ARG
34,Chile,86,14,0,100,4238.881591,690.0504915,0,4928.932082,CHL
35,Colombia,47,32,21,100,6537.595284,4451.128704,2921.053212,13909.7772,COL
36,Mexico,52.7547478,29.04650631,18.19874589,100,20847.78226,11478.68702,7191.835951,39518.30523,MEX
37,China,90.54662858,2.113673209,7.339698213,100,299709.3406,6996.258322,24294.40109,331000,CHN
38,Hong Kong,98,1.7,0.3,100,2462.64886,42.719419,7.538721,2512.907,HKG
39,Taiwan,97.8714285,0.012578678,2.115992826,100,6937.416424,0.891613878,149.9878321,7088.29587,TWN
40,Australia,55,44.5,0.5,100,9432.654473,7631.874983,85.7514043,17150.28086,AUS
41,New Zealand,59.9,40,0.1,100,1016.6827,678.92,1.6973,1697.3,NZL
42,India,45,37,18,100,85281.09956,70120.0152,34112.43983,189513.5546,IND
43,Japan,98.5,1.5,0,100,43161.715,657.285,0,43819,JPN
44,Indonesia,97,2,1,100,24250,500,250,25000,IDN
45,"Korea, South",91.95807808,1.252610882,6.789311034,100,25147.01236,342.5411013,1856.616537,27346.17,KOR
46,Malaysia,95.5,3.5,1,100,10292.3215,377.2055,107.773,10777.3,MYS
47,Philippines,70,0,30,100,3749.627,0,1606.983,5356.61,PHL
48,Singapore,98.8,0.6,0.6,100,2408.037992,14.6237125,14.6237125,2437.285417,SGP
49,Thailand,91,9,0,100,6179.269915,611.136585,0,6790.4065,THA
50,Vietnam,82,14,4,100,16893.1808,2884.2016,824.0576,20601.44,VNM
