,Country,HMC_UV_Coating,HMC_OTHER_Coating,HMC_Blue_cut_by_Coating,Blue_cut_by_Material_only,Blue_cut_by_Coating_plus_Material,Total_blue_cut,"HMC
UV 
Coating.1","HMC
OTHER
Coating.1","HMC
Blue cut by Coating.1",Blue cut by Material only.1,Blue cut by Coating + Material only.1,Total blue cut.1,Code
0,France,20,0,14,17,5,36,8213.053902,0,5749.137732,6981.095817,2053.263476,14783.49702,FRA
1,Germany,30,65,2.4,3.2,0.5,6.1,8845.2,19164.6,707.616,943.488,147.42,1798.524,DEU
2,Italy,18,44,2.6,4.7,0.1,7.4,2594.2878,6341.5924,374.73046,677.39737,14.41271,1066.54054,ITA
3,Spain,9.3,74.87509815,8.67,12.05,2.22,22.94,1187.582475,9561.328428,1107.13334,1538.749336,283.4874295,2929.370105,ESP
4,United Kingdom,27.41011871,35.91434356,3.207858916,4.394761731,0.34782211,7.950442756,8864.189622,11614.38062,1037.393162,1421.22702,112.4825897,2571.102772,GBR
5,Austria,25.2,78,15,3.6,1.1,19.7,756.1181628,2340.365742,450.070335,108.0168804,33.0051579,591.0923733,AUT
6,Belgium,52,23,3.5,15,1.6,20.1,1661.092223,734.7138679,111.8042842,479.1612182,51.11052994,642.0760324,BEL
7,Denmark,61,27,3,7,1.1,11.1,1043.84436,462.0294707,51.33660785,119.7854183,18.82342288,189.9454491,DNK
8,Finland,25,24,2.9,9,10,21.9,554.4998668,532.3198721,64.32198454,199.619952,221.7999467,485.7418833,FIN
9,Ireland,27.41011871,35.91434356,3.207858916,14.89476173,17.07080807,35.17342872,316.2300984,414.3432037,37.0090167,171.8406264,196.9456381,405.7952812,IRL
10,Netherlands,27.41011871,35.91434356,3.207858916,14.89476173,17.07080807,35.17342872,1913.236002,2506.833911,223.9096894,1039.659649,1191.548455,2455.117793,NLD
11,Norway,59.2,35.9,6,17.4082282,1.046651905,24.4548801,950.2346464,576.240267,96.30756551,279.424013,16.80008281,392.5316613,NOR
12,Portugal,36,28,3,6.05,1.5,10.55,1153.27872,896.99456,96.10656,193.814896,48.05328,337.974736,PRT
