,Country,Clear,"Fixed Tints
non Polar","Fixed Tints
Polar","Fixed Tints
Total",Photo,TOTAL,Clear.1,"Fixed Tints
non Polar.1","Fixed Tints
Polar.1","Fixed Tints
Total.1",Photo.1,TOTAL.1,Code
0,France,72.10000000000001,16.0,4.500000000000001,20.5,7.3999999999999995,100.00000000000001,41065.26951100001,9112.958560000001,2563.0195950000007,11675.978155,4214.743334000001,56955.99100000001,FRA
1,Germany,81.0,12.5,1.6,14.099999999999998,4.8999999999999995,100.0,29484.0,4550.0,582.4,5132.4,1783.6,36400.0,DEU
2,Italy,76.46,7.659999999999998,0.7799999999999997,8.44,15.099999999999996,99.99999999999999,14412.710000000003,1443.91,147.02999999999997,1590.94,2846.35,18850.000000000004,ITA
3,Spain,78.34174252819722,15.00139333690161,2.1933504821268555,17.194743819028467,4.463513652774311,100.0,12769.704032096148,2445.227113914963,357.5161285866775,2802.7432425016405,727.5527254022127,16300.000000000002,ESP
4,United Kingdom,80.4,7.400000000000001,1.7000000000000004,9.100000000000001,10.500000000000002,100.00000000000001,32339.114316000003,2976.4856460000005,683.7872430000002,3660.2728890000008,4223.3917950000005,40222.779,GBR
5,Austria,85.80000000000001,6.0,1.5,7.5,6.699999999999999,100.00000000000001,3000.4689000000008,209.82300000000004,52.45575000000001,262.27875000000006,234.30235000000002,3497.0500000000006,AUT
6,Belgium,81.36256198570744,10.455148154359243,0.9091433177703689,11.364291472129613,7.2731465421629515,100.0,3595.96567095936,462.08419364270156,40.18123422980014,502.26542787250173,321.4498738384011,4419.680972670262,BEL
7,Denmark,77.0,11.5,2.0,13.5,9.5,100.0,1711.2202617333978,255.5718572718711,44.4472795255428,300.0191367974139,211.1245777463283,2222.36397627714,DNK
8,Finland,80.25000000000001,11.649999999999999,1.0999999999999999,12.75,7.000000000000001,100.0,2217.9994670205006,321.98995377930004,30.4024849062,352.39243868550005,193.47035849400007,2763.8622642000005,FIN
9,Ireland,75.29999999999998,13.700000000000005,2.6000000000000005,16.300000000000004,8.4,99.99999999999999,1153.6983908825944,209.90262888567793,39.83553540896077,249.7381642946387,128.69942209048864,1532.1359772677217,IRL
