,Country,HIGH END,Unnamed: 2,MID HIGH ,Unnamed: 4,MID LOW ,Unnamed: 6,LOW END ,Unnamed: 8,Unnamed: 9,SV,BTF,PAL,HIGH END.1,MID HIGH,MID LOW,LOW END,Code
0,France,20.0,6.0,10 and 20,11.0,5 and 10,25.0,5.0,58.00000000000001,100.0,31982.000000000004,55.991000000001804,24700.0,1918.9200000000003,3518.0200000000004,7995.500000000001,18549.560000000005,FRA
1,Germany,15.0,10.0,5 and 15,20.0,3 and 5,25.0,3.0,44.99999999999999,100.0,23048.0,521.0,12814.0,2304.8,4609.6,5762.0,10371.599999999999,DEU
2,Italy,12.0,20.0,7 and 12,55.00000000000001,4 and 7,15.0,4.0,9.999999999999998,100.0,14602.0,58.0,4123.0,2920.4,8031.100000000001,2190.3,1460.1999999999998,ITA
3,Spain,21.5,19.881385244114743,11 and 22,25.40941971415401,5 and 11,19.168137375786337,5.375,35.541057665944905,99.99999999999999,10254.719144927749,65.33769489060761,5974.264264981119,2038.780218905075,2605.664628042397,1965.638653200813,3644.6356447794637,ESP
4,United Kingdom,11.72661705714477,10.0,6 and 12,10.0,1 and 6,20.0,1.172661705714477,60.0,100.0,29156.422000000006,1442.79,9589.367,2915.6422000000007,2915.6422000000007,5831.284400000001,17493.8532,GBR
5,Austria,39.0,8.200000000000001,13 and 39,24.8,6 and 13,25.0,6.0,41.99999999999999,100.0,2518.0,21.05,954.0,206.47600000000003,624.464,629.5,1057.56,AUT
6,Belgium,50.0,5.0,25 and 50,15.0,12 and 25,60.0,12.0,19.999999999999996,100.0,2758.9915328300135,37.05,1216.0818901500002,137.94957664150067,413.84872992450204,1655.3949196980082,551.7983065660026,BEL
7,Denmark,18.011807728999656,11.756702606491535,12 and 18,13.849102436266609,6 and 12,21.5536441491394,6.048741401529735,52.84055080810246,100.0,1292.8886264784953,36.28519950453572,891.1679544871336,152.00107084822986,179.0534702678472,278.664613795871,683.1694715665475,DNK
8,Finland,25.0,9.642511527295497,15 and 25,19.257699094893834,10 and 15,22.17396254340525,10.0,48.92582683440542,100.0,1662.4313142000005,97.60965000000003,1003.0233000000002,160.30013110510507,320.1460201479251,368.6268969205477,813.3582660264225,FIN
9,Ireland,15.0,9.0,10 and 15,8.0,4 and 10,25.0,3.5,58.00000000000001,100.0,1131.9583005368218,123.81999127200467,275.0576854588956,101.87624704831396,90.55666404294574,282.98957513420544,656.5358143113567,IRL
10,Netherlands,25.0,17.0,13 and 25,20.0,5 and 13,23.0,5.0,40.0,100.0,5358.899148575754,135.85000000000002,2665.586,911.0128552578783,1071.7798297151508,1232.5468041724234,2143.5596594303015,NLD
11,Norway,18.015154005225057,6.550575736206267,13 and 18,4.0688447013566815,6 and 13,24.34580890465136,5.7410930346321605,65.03477065778569,100.0,1346.6504106257646,17.872795776023334,735.9386496009621,88.2133550499734,54.79311387854442,327.8529355846515,875.7910061125953,NOR
12,Portugal,32.81,15.0,15 and 33,25.0,7 and 15,40.0,6.56,19.999999999999996,100.0,2776.0,48.0,1352.0,416.4,694.0,1110.4,555.1999999999999,PRT
13,Sweden,14.958264892520708,3.048400213971653,10 and 15,11.692159156638557,4 and 10,25.661898693990093,4.421625471374046,59.597541935399704,100.0,3004.11635929326,75.58305371548012,1576.7661262793897,91.57748952465316,351.2460659791837,770.9132967714198,1790.3795070180036,SWE
14,Switzerland,29.859382061831,19.1,15 and 30,30.2,5 and 15,10.2,4.976563676971833,40.5,100.0,1797.0,20.0,1313.0,343.22700000000003,542.694,183.29399999999998,727.785,CHE
15,Bulgaria,48.04172205746991,8.0,25 and 48,12.0,8 and 25,36.5,8.129665609980542,43.50000000000001,100.0,1669.0,11.0,245.0,133.52,200.28,609.185,726.0150000000001,BGR
16,Croatia,23.490773691242346,15.0,14 and 23,15.0,6 and 14,15.0,5.839514363924651,55.00000000000001,100.0,1217.0,37.0,166.0,182.55,182.55,182.55,669.3500000000001,HRV
17,Czech Republic,24.424070285568387,10.0,16 and 24,15.0,8 and 16,30.0,8.141356761856128,44.99999999999999,100.0,3426.352653499159,46.20301816014002,293.04200834069843,342.63526534991587,513.9528980248738,1027.9057960497476,1541.8586940746213,CZE
18,Hungary,14.056198141976449,10.0,8 and 14,20.0,5 and 8,25.0,5.111344778900527,44.99999999999999,100.0,2311.0,32.8,361.2,231.1,462.2,577.75,1039.9499999999998,HUN
19,Poland,16.00475750239096,13.0,10 and 16,12.0,4 and 10,30.0,4.267935333970922,44.99999999999999,100.0,9826.96243342307,91.3810771906453,1028.862,1277.5051163449991,1179.2354920107684,2948.0887300269214,4422.133095040381,POL
20,Romania,57.591154564249706,10.0,27 and 58,30.0,11 and 27,40.0,10.95043079742776,19.999999999999996,100.0,5648.0,49.0,300.0,564.8,1694.4,2259.2,1129.6,ROU
21,Slovakia,9.0,10.0,5 and 9,14.000000000000002,2 and 5,10.0,2.0,65.99999999999999,99.99999999999999,1484.1074263157896,48.631768771929835,187.81924491228074,148.41074263157896,207.77503968421058,148.41074263157896,979.510901368421,SVK
22,Slovenia,24.5,15.0,15 and 25,10.0,6 and 15,20.0,6.2,55.00000000000001,100.0,773.0,18.0,129.0,115.95,77.3,154.6,425.1500000000001,SVN
23,Morocco,5.149443141739359,2.0,3 and 5,6.0,1 and 3,42.0,1.4043935841107342,50.0,100.0,5275.244037200535,113.89491006715,839.3920450638743,105.50488074401069,316.5146422320321,2215.6024956242245,2637.6220186002674,MAR
24,Russia,22.037086276112102,10.0,8 and 22,35.0,4 and 8,35.0,4.456328174207626,20.000000000000007,100.0,17684.73327476672,104.26817596579494,1119.998549267481,1768.4733274766722,6189.6566461683515,6189.6566461683515,3536.9466549533454,RUS
25,Saudi Arabia,17.70357063510684,15.0,6 and 18,20.0,1 and 6,25.0,1.2645407596504885,40.0,100.0,6695.0,356.0,849.0,1004.25,1339.0,1673.75,2678.0,SAU
26,South Africa,18.595321951522067,3.0,6 and 19,15.0,3 and 6,28.000000000000004,2.6149671494327906,54.0,100.0,2357.8,417.0,757.0,70.73400000000001,353.67,660.1840000000001,1273.2120000000002,ZAF
27,Tunisia,23.143120618384174,3.0,11 and 23,15.0,4 and 11,30.0,3.9436489972541993,52.0,100.0,3073.3526008784565,9.933512582805983,271.531629327173,92.20057802635368,461.0028901317685,922.005780263537,1598.1433524567974,TUN
28,Turkey,8.616334666216611,3.0,4 and 9,7.000000000000001,1 and 4,26.0,1.4934980088108791,64.0,100.0,26452.67113937026,18.99994873817035,3000.4038784455306,793.5801341811078,1851.6869797559184,6877.694496236268,16929.709529196967,TUR
29,United Arab Emirates,16.262456689529962,8.0,9 and 16,12.0,3 and 9,32.0,3.2524913379059925,48.0,100.0,1583.0,58.09,358.0,126.64,189.96,506.56,759.84,ARE
30,Canada,16.064362005596088,25.0,11 and 16,43.0,8 and 11,24.4,8.032181002798044,7.600000000000007,100.0,9054.593077585729,826.4152596845427,5925.6865582960145,2263.648269396432,3893.4750233618634,2209.320710930918,688.149073896516,CAN
